Nome do projeto,Anexar arquivo,Data de início,Data de término,Equipe,Prioridade,Progresso,Responsável,Resumo por IA,Status,Valor final,Valor inicial
Criar Classe Conta,,,,,,0%,nicolly.l.nunes,,Concluído,,
Criar Classe Cliente/Fornecedor,,,,,,0%,Arielly Silva Rodrigues,,Concluído,,
Criar Classe Pagamento,,,,,,0%,Arielly Silva Rodrigues,,Concluído,,
Criar Classe Funcionario,,,,,,0%,Larissa Helena Machado Cardoso,,Concluído,,
Criar Classe Pedidos/Vendas,,,,,,0%,Larissa Helena Machado Cardoso,,Concluído,,
Criar Classe Item Pedido/Venda,,,,,,0%,Manuela Gomes Ribeiro,,Concluído,,
Criar Classe Estoque,,,,,,0%,Manuela Gomes Ribeiro,,Concluído,,
Layout Base,,,,,,0%,,,Concluído,,
Componentes HTML,,,,,,0%,,,Concluído,,
API produtos,,,,,,0%,,,Concluído,,
Layout produtos,,,,,,0%,,,Concluído,,
API Cliente/Fornecedor,,,,,,0%,,,Concluído,,
Layout Cliente/Fornecedor,,,,,,0%,,,Concluído,,
API funcionarios,,,,,,0%,,,Concluído,,
Layout funcionarios,,,,,,0%,,,Concluído,,
API Folha de Pagamento,,,,,,0%,,,Concluído,,
Layout Folha de Pagamento,,,,,,0%,,,Concluído,,
API Estoque/Movimentações,,,,,,0%,,,Concluído,,
API Financeiro/Contas a pagar/receber,,,,,,0%,,,Concluído,,
API Pedidos,,,,,,0%,,,Concluído,,
API Item do Pedido,,,,,,0%,,,Concluído,,
Roteiro de Teste,,,,,,0%,,,Concluído,,
Autenticação,,,,,,0%,,,Em andamento,,
Integração JS - Produto,,,,,,0%,,,Em andamento,,
Interação JS - Funcionarios,,,,,,0%,,,Em andamento,,
Integração JS - Folha de pagamento,,,,,,0%,,,Em andamento,,
Integração JS - Estoque,,,,,,0%,,,Em andamento,,
Integração JS - Financeiro,,,,,,0%,,,Em andamento,,
Integração JS - Pedidos,,,,,,0%,,,Em andamento,,
Integração JS - Clientes/Fornecedores,,,,,,0%,,,Em andamento,,
